States,Registered_users,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Andaman & Nicobar Islands,6740,6658,14.63,2018,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,9405,11340,28.34,2018,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,12149,16265,55.56,2018,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,15222,23758,90.55,2018,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,18596,30486,102.30,2019,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,21731,33689,120.25,2019,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,23931,33770,114.07,2019,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,25960,35159,136.84,2019,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,28368,41298,161.48,2020,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,32710,62962,169.65,2020,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,41335,117483,338.02,2020,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,52396,224531,627.28,2020,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,57758,244752,783.71,2021,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,62095,341414,899.15,2021,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,66982,449764,1310.02,2021,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,71780,636123,1932.61,2021,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,76288,794748,2129.03,2022,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,80530,1071217,2685.92,2022,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,84642,1584379,3310.63,2022,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,88442,1987535,3984.67,2022,4th Quarter,35,11.66702557,92.73598262
Andhra Pradesh,3336450,9039585,11996.28,2018,1st Quarter,28,15.9129,79.74
Andhra Pradesh,4402540,12353918,22883.91,2018,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,5427617,25626061,35718.04,2018,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,6857409,30759548,51473.78,2018,4th Quarter,28,15.9129,79.74
Andhra Pradesh,8283019,57264522,83760.60,2019,1st Quarter,28,15.9129,79.74
Andhra Pradesh,9389003,56409015,114000.00,2019,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,10458693,76288614,139000.00,2019,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,11757883,107218103,201000.00,2019,4th Quarter,28,15.9129,79.74
Andhra Pradesh,13022060,127677357,253000.00,2020,1st Quarter,28,15.9129,79.74
Andhra Pradesh,14319675,144917855,303000.00,2020,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,15692405,204902935,467000.00,2020,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,17076565,286118552,655000.00,2020,4th Quarter,28,15.9129,79.74
Andhra Pradesh,18363733,289747970,672000.00,2021,1st Quarter,28,15.9129,79.74
Andhra Pradesh,19620905,352767134,851000.00,2021,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,21059898,432032550,984000.00,2021,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,22489029,522254003,1160000.00,2021,4th Quarter,28,15.9129,79.74
Andhra Pradesh,23857951,582603911,1290000.00,2022,1st Quarter,28,15.9129,79.74
Andhra Pradesh,25157264,671134030,1480000.00,2022,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,26496330,642855035,1390000.00,2022,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,27778016,690017077,1420000.00,2022,4th Quarter,28,15.9129,79.74
Arunachal Pradesh,21495,45497,92.39,2018,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,32883,82157,198.97,2018,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,45922,131146,331.73,2018,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,61852,176429,504.04,2018,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,76957,226506,609.95,2019,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,95885,258656,752.66,2019,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,112149,370234,912.65,2019,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,129321,459475,1190.57,2019,4th Quarter,12,27.10039878,93.61660071
